ID_TEST;TEST_ENGLISH;TEST_FRANCAIS
Jour_2_37;Meh, I can’t blame you for that.;a
Jour_2_38;*Laughs* *imitates radio noise*;a
Jour_2_39;"<color=#209753><shake a=0.5 f=>Krr krr...</shake>
Snake? ....<wave> Snake?!</wave> <shake>SNAAAAAKE!</shake></color>";a
Jour_2_40;*Chuckles* I love this game.;a
Jour_2_41;Oh god, NO! No, no, no! Milo, bad cat! I don’t understand why you insist on eating that cardboard.;a
Jour_2_42;"It's like the third time this week, I’ve told you already; it's. Not. Food!!";a
;;
;;
;;
;;
;;
;;
Jour_3_1;Oh, hi kitty, didn’t see you there ;a
Jour_3_2;"You know I was wondering; do you think I made the right decision studying here?";a
Jour_3_3;"I mean, sure I met you; I met Benjamin and I got to stay with Lena";a
Jour_3_4;but sometimes I wonder what if Mom was right?;a
Jour_3_5;What if I don’t get a job after this, how am I going to pay back my loan?;a
Jour_3_6;How am I going to pay for my apartment and most importantly the food??;a
Jour_3_7;I don’t know, maybe I’m just tired from watching videos too late on my phone again. ;a
Jour_3_8;Ah yes, you’re right I’ve got to feed you.;a
Jour_3_9;Mhh, how about chicken today? ;a
Jour_3_10;Looks good to me, here you go kitty. I’m going to the sofa, are you coming?;a
Jour_3_11;Sigh You know what nevermind.;a
Jour_3_12; I’m going on the sofa to drink this coffee. You’re coming?;a
Jour_3_13;What th- MILO. As if worrying about my future wasn’t enough;a
Jour_3_14;I must worry about you destroying my trash can too??;a
Jour_3_15;Get out of here, go wait for me on the sofa instead of doing stuff like this.;a
Jour_3_16;I love you too kitty, you’re right I am worrying too much.;a
Jour_3_17;I should just drink this coffee. Well, let’s go on the sofa.;a
Jour_3_18;Sigh Yeah, I have to go shower too but for now,;a
Jour_3_19;I’m going on the sofa to drink this coffee. You’re coming?;a
Jour_3_20;I can meow too you know.;a
Jour_3_21;Instead of meowing come with me on the sofa so I can drink my coffee peacefully. ;a
Jour_3_22;That was an aggressive meow.;a
Jour_3_23;I don’t know why you aren’t happy again but I’m going to the sofa to drink this coffee.;a
Jour_3_24;You’re coming?;a
Jour_3_25;AHHH (happy relaxed), I made a great decision when buying this couch.;a
Jour_3_26;After this, I’ll go shower and then I have a class with Mr. Virtanen, I’m going to do my presentation about Pilvi Takala;a
Jour_3_27;It should go well. I revised a lot with Benji, and I know well this artist.;a
Jour_3_28;I really like her you know. We’ve been friends since what?;a
Jour_3_29;High school? And yet she’s still the same crazy goofball that played football on Fridays after school and ate cookies in math class.;a
Jour_3_30;It feels like something has changed since last week though.;a
Jour_3_31;She’s been making a lot of eye-contacts and she’s been more touchy than usual.;a
Jour_3_32; I wonder if something’s up. What do you think?;a
Jour_3_33;*Chuckles* - Yeah, I agree. She’s awesome. Do you know what she did yesterday??;a
Jour_3_34;She bargained with Mr. Virtanen to be paired with me for our final term assignment.;a
Jour_3_35;I think she might have used up all her luck for the year.;a
Jour_3_36;I think I’ll ask her to go to grab lunch with me soon.;a
Jour_3_37;That way we can talk about something else than class.;a
Jour_3_38;Sometimes I wonder what you would say if you could talk for real.;a
Jour_3_39;Nonetheless, know that I am going to ask her if we can eat together this week.;a
Jour_3_40;Maybe going to eat pizzas or even burgers maybe?;a
Jour_3_41;I’m excited about it, she’s sooooo pretty and I love the way her lips curl up every time she sees me it’s as if I was a sun or something.;a
Jour_3_42;I can see you care more about your kibbles buuut you’re going to have to support me a bit longer.;a
Jour_3_43;Sometimes I forget you’re a cat and you care more about licking your fur than listening to me, for as much as you can understand.;a
Jour_3_44; Nonetheless, know that I am going to ask her if we can eat together this week.;a
Jour_3_45;Maybe going to eat pizzas or even burgers maybe?;a
Jour_3_46;I’m excited about it, she’s sooooo pretty and I love the way her lips curl up every time she sees me it’s as if I was a sun or something.;a
Jour_3_47;I can see you care more about your kibbles buuut you’re going to have to support me a bit longer.;a
Jour_3_48;Really? You don’t like her?;a
Jour_3_49;You never even met her, she’s basically in love with you and she’s always asking me for photos of you.;a
Jour_3_50;How can you meow like that at her, it’s unfair Milo.;a
Jour_3_51;You know what?;a
Jour_3_52;If she ever comes here, you’ll be able to meow like that okay?;a
Jour_3_53;For now, just go into the living room if you’re so mad.;a
Jour_3_54;Milo, where are you going?;a
Jour_3_55;Footsteps What is- I told you not to do this! You got your scratching post over there you know this. Sigh;a
Jour_3_56;Sometimes I wonder if you do this just to annoy me or if you’re just a clueless cat. Sigh;a
Jour_3_57;I hope for you that Lena won’t notice when she comes because that would be embarrassing for you and me.;a
Jour_3_58;Milo, where are you going? Footsteps What is- You're eating my plant again?? ;a
Jour_3_59;Milo, you know it’s not good for your health, you always end up vomiting everywhere why do you do this?;a
Jour_3_60;Sigh You will not sleep in my bed or my room tonight I promise you,;a
Jour_3_61; I’m seeing Lena tomorrow and I want to ask her to go get lunch with me during the week,;a
Jour_3_62;So I don’t need you to stain my outfit because of your nonsense;a
Jour_3_63;Text message from Lena;a
Jour_3_64;Hi Laur <3 Loved your talk about Pilvi Takala in class today.;a
Jour_3_65;She’s one of the main reasons I wanted to study at Uniarts;a
Jour_3_66; so I was really happy when I heard you say her name :);a
Jour_3_67;Btw I noticed you staring at me today and I thought maybe you liked my makeup?;a
Jour_3_68;Sooo, I was thinking we could go shopping for some if you want :) just the two of us? ;a
Jour_4_1;Hello? ;a
Jour_4_2;Hi Mom, it’s me;a
Jour_4_3;Oh, hi Lau.;a
Jour_4_4;Hmhm Ho-How are you doing? Needing anything?;a
Jour_4_5;I could come see you tomorrow if you wan-;a
Jour_4_6;No, no mom. I'm okay, thank you.;a
Jour_4_7;"I still would love to have you here though; you could come for a coffee?";a
Jour_4_8;Yeah, I would love that. A lot…;a
Jour_4_9;EMOTION_CHOICE;a
Jour_4_10;I-I've got a date tomorrow.;a
Jour_4_11;It’s with a friend I know from school, she’s really nice and kind, you would love her.;a
Jour_4_12;I’ll tell you more about her tomorrow if you want?;a
Jour_4_13;That would be nice *tyttöseni*.;a
Jour_4_14;I’ll see you tomorrow, okay?;a
Jour_4_15;I have to work now, I love you bye Lau’.;a
Jour_4_16;Bye mom, love you.;a
Jour_4_17;I-I've got a date tomorrow.;a
Jour_4_18;I met this friend in class, and it’s been going well.;a
Jour_4_19;We’re going to eat in an Italian restaurant, the one where you and Dad met.;a
Jour_4_20;Oh, okay. That’s nice *tyttöseni*.;a
Jour_4_21;I am happy for you.;a
Jour_4_22;Sigh I have to work now, I’m sorry, I love you, bye Lauren.;a
Jour_4_23;Bye mom, love you.;a
Jour_4_24;Stop it Milo.;a
Jour_4_25;I’m meeting a friend tomorrow.;a
Jour_4_26;I talked about her already, it’s Lena, remember her?;a
Jour_4_27;Ah yes Lena, the loud energetic one, right?;a
Jour_4_28;Yeah, that’s her. We’re going to eat at an Italian restaurant.;a
Jour_4_29;Oh, that’s awesome.;a
Jour_4_30;You know there’s a good one near the train station, I used to go there all the time.;a
Jour_4_31;I know, thanks, mom.;a
Jour_4_32;Sigh You know what?;a
Jour_4_33;I just realized that I have some homework to do, I’ll talk to you later right?;a
Jour_4_34;Yeah, sure *tyttöseni*.;a
Jour_4_35;See you tomorrow, Lauren, love you.;a
Jour_4_36;Bye mom.;a
Jour_4_37;…;a
Jour_4_38;Are you purring because you’re happy to be with me?;a
Jour_4_39;Awww, I am glad I found you in this alley 2 years ago, I love you Milo.;a
Jour_4_40;What is it? You want me to put you on the shelf again, don’t you?;a
Jour_4_41;Sigh Here you go, you should be glad I love you so much.;a
Jour_4_42;You’re strangely calm today. You did something, didn’t you?;a
Jour_4_43;I hope for you, you didn’t mess with the trash or there will be consequences.;a
Jour_4_44;What’s that noise- Milo, NO. I need this cardboard for my project with Benji stop biting it!;a
Jour_4_45;Milo, no, stop. Mil- Okay you’re going into the living room.;a
Jour_4_46;Milo? What is it? Come here. Come!;a
Jour_4_47;You don’t want to get on the bed? Okay, stay there then.;a
Jour_4_48;MILO?? Are you okay? Why are you meowing so loudly?? Are you hungry?;a
Jour_4_49;I fed you just an hour ago though…;a
Jour_4_50;Wait- Is this your usual “I want something, but you’ll never know what” hour?;a
Jour_4_51;Ugh, you’re really my cat.;a
Jour_4_52;What is- Is it licking hour again? ;a
Jour_4_53;You’re really loud when you do that you know.;a
Jour_4_54;Well, I hope this means I’ll find less of your hair on my clothes.;a
;;
;;
;;
;;
;;
;;
Jour_5_1;Hey Lau.;a
Jour_5_2;Hii Benji, how are you doing?;a
Jour_5_3;Good since you called me and you?;a
Jour_5_4;I’d say I am the happiest I’ve been in a while to be honest.;a
Jour_5_5;Really? That’s awesome! Did something happen or..?;a
Jour_5_6;Maybe...;a
Jour_5_7;Wouldn’t it be because of someone whose name starts with L?;a
Jour_5_8;It might be...;a
Jour_5_9;Yes, it is.;a
Jour_5_10;I KNEW IT, I TOLD YOU AND YOU WERE LIKE “no, we’re only friends gngngngn”.;a
Jour_5_11;I. KNEW. IT.;a
Jour_5_12;You sneaky woman, I saw it from the beginning.;a
Jour_5_13;Yeah, yeah, you were right. We kinda went on a date today? I think it was a date.;a
Jour_5_14;Why do you think? Why wouldn’t it be?;a
Jour_5_15;We never made it clear so I’m not sure, but we still held hands and shopped outfits for each other, she even got us matching keychains!;a
Jour_5_16;Yeah, that’s what you call a date idiot.;a
Jour_5_17;I knew she had a thing for you, it showed.;a
Jour_5_18;What do you mean it showed??;a
Jour_5_19;Since I met you, she’s always been so protective of you.;a
Jour_5_20;Always standing by your side, bringing you snacks and offering you her jacket if you were cold.;a
Jour_5_21;What? But we’ve been doing this for each other since high school, that’s just what best friends do.;a
Jour_5_22;Is it?;a
Jour_5_23;...;a
Jour_5_24;Milo is purring. I think he’s trying to tell me you’re right.;a
Jour_5_25;Benji, how could I be so oblivious all this time? I’m so damn blind that’s insane.;a
Jour_5_26;Yeah, you kinda are.;a
Jour_5_27;Not. Helping. Benjamin.;a
Jour_5_28;Wait a sec Benji, Milo is meowing, and I don’t know why. What’s going on Milo?;a
Jour_5_29;Maybe he’s trying to tell you that I was right.;a
Jour_5_30;He’s my cat, he always agrees with me.;a
Jour_5_31;That’s what you think.;a
Jour_5_32;That’s the truth.;a
Jour_5_33;Or... is it?;a
Jour_5_34;...;a
Jour_5_35;Dammit, how could I be so oblivious all this time?;a
Jour_5_36;Love is certainly blind with you.;a
Jour_5_37;Yeah, it is.;a
Jour_5_38;Let’s just say I’ll let you believe in your dreams.;a
Jour_5_39;I’m telling the truth!;a
Jour_5_40;Seems more like you are being delusional to me.;a
Jour_5_41;I’m not.;a
Jour_5_42;You kinda are though.;a
Jour_5_43;....;a
Jour_5_44;Dammit.;a
Jour_5_45;What’s that noise? Where’s Milo??;a
Jour_5_46;I think he left because you were too delusional.;a
Jour_5_47;Not funny Benji. Dammit Milo, no!;a
Jour_5_48;What is he doing?;a
Jour_5_49;He’s messing with the trash can again, that’s the 3rd time this week!;a
Jour_5_50;BAHAHA, I wish I could see that.;a
Jour_5_51;No, you don’t.;a
Jour_5_52;I do.;a
Jour_5_53;Wait a sec Benji, Milo is meowing like crazy. What’s going on Milo?;a
Jour_5_54;"He must be really loud; I hear him through the phone.";a
Jour_5_55;He is. I don’t know what he wants. What is it kitty? Are you hungry? Do you want some cuddles?;a
Jour_5_56;I know someone who would looove some cuddles.;a
Jour_5_57;Shut up Benji, not the right time.;a
Jour_5_58;Sorry Laur’, I’m messing with you. I’m happy for both of you.;a
Jour_5_59;It’s okay Benji, that’s not your fault.;a
Jour_5_60;Dammit, how could I be so oblivious all this time?;a
Jour_5_61;Love is certainly blind with you.;a
Jour_5_62;It’s okay Laur’, maybe it was for the best. You can enjoy it to the fullest now. Tell her, I’ll kick her ass if she hurts you though.;a
Jour_5_63;We’re not even dating!;a
Jour_5_64;Yet, not even dating yet.;a
Jour_5_65;You’re so annoying!;a
Jour_5_66;But you love me.;a
Jour_5_67;L: I do.;a
Jour_5_68;I got to go Benji, I’ll talk to you later, okay?;a
Jour_5_69;Sure, bye Laur’.;a
Jour_5_70;Bye Benji, love you.;a
;;
Jour_5_71;Oh, my sweet cat. I love you too, I’m sorry I’m crying, I know you don’t like it. It’s just-;a
Jour_5_72;It’s been so hard lately to keep up with class, grades, working on my thesis, working at the café and just living in general.;a
Jour_5_73;I miss Dad so much. I miss home.;a
Jour_5_74;I miss being young and having to care only about whether my afternoon snack had chocolate in it or not.;a
Jour_5_75;I’m sorry kitty-cat. I wish I could be stronger but I’m really not.;a
Jour_5_76;I love you so much you know. I don’t know how I would survive without you here with me.;a
Jour_5_77;Thank you for being here kitty-cat.;a
Jour_5_78;Hi, kitty. I’m sorry I’m crying, I know you don’t like it. It’s just-;a
Jour_5_79;It’s been so hard lately to keep up with class, grades, working on my thesis, working at the café and just living in general.;a
Jour_5_80;I miss Dad so much. I miss home.;a
Jour_5_81;I miss being young and having to care only about whether my afternoon snack had chocolate in it or not.;a
Jour_5_82;I’m sorry kitty-cat. I wish I could be stronger but I’m really not. I feel like I’m wasting my time here like nothing’s worth it.;a
Jour_5_83;At least I got you buddy huh, thank you for being here I love you, Milo.;a
Jour_5_84;Sometimes I wish I could be like you. Only caring about food, sleep, having cuddles, and licking my fur.;a
Jour_5_85;It’s been so hard lately to keep up with class, grades, working on my thesis, working at the café and just living in general.;a
Jour_5_86;I miss Dad so much. I miss home.;a
Jour_5_87;I miss being young and having to care only about whether my afternoon snack had chocolate in it or not.;a
Jour_5_88;I’m sorry kitty-cat. I wish I could be stronger but I’m really not. I feel like I’m wasting my time here like nothing’s worth it.;a
Jour_5_89;At least I got you buddy huh, thank you for being here I love you, Milo.;a
Jour_5_90;Ah yes hi, kitty. I’m sorry I’m crying, I know you don’t like it. It’s just-;a
Jour_5_91;It’s been so damn hard lately to keep up with class, grades, working on my thesis, working at the café and just living in general.;a
Jour_5_92;I feel so overwhelmed and like a complete loser to be honest.;a
Jour_5_93;I miss Dad so much. I miss home.;a
Jour_5_94;I miss being young and having to care only about whether my afternoon snack had chocolate in it or not.;a
Jour_5_95;I’m sorry kitty-cat. I wish I could be stronger but I’m really not.;a
Jour_5_96;I feel like I’m wasting my time here like nothing’s worth it.;a
Jour_5_97;Maybe Mom was right, maybe I should have gone to law school instead, I wouldn’t worry so much about my future then.;a
Jour_5_98;At least I got you buddy huh, thank you for being here I love you, Milo.;a
Jour_5_99;Hi, kitty. I’m sorry I know you want to go on the shelf but not right now buddy.;a
Jour_5_100;It’s been so damn hard lately to keep up with class, grades, working on my thesis, working at the café and just living in general.;a
Jour_5_101;I miss Dad so much. I miss home.;a
Jour_5_102;I miss being young and having to care only about whether my afternoon snack had chocolate in it or not.;a
Jour_5_103;I’m sorry kitty-cat. I wish I could be stronger but I’m really not. I feel like I’m wasting my time here like nothing’s worth it.;a
Jour_5_104;At least I got you buddy huh, thank you for being here I love you, Milo.;a
Jour_5_105;Milo, please, don’t. No, stop it. I don’t have the strength to deal with you right now.;a
Jour_5_106;I know you don’t like when I cry but-;a
Jour_5_107;It’s been so damn hard lately to keep up with class, grades, working on my thesis, working at the café and just living in general.;a
Jour_5_108;I feel so overwhelmed and like a complete loser to be honest.;a
Jour_5_109;I miss Dad so much. I miss home.;a
Jour_5_110;I miss being young and having to care only about whether my afternoon snack had chocolate in it or not.;a
Jour_5_111;I’m sorry kitty-cat. I wish I could be stronger but I’m really not.;a
Jour_5_112;I feel like I’m wasting my time here like nothing’s worth it.;a
Jour_5_113;Maybe Mom was right, maybe I should have gone to law school instead, I wouldn’t worry so much about my future then.;a
Jour_5_114;At least I got you buddy huh, you’ll stay with me, right? I love you so much Milo.;a
;;
;;
;;
;;
;;
;;
Jour_6_1;Oh, hi kitty, didn’t see you there.;a
Jour_6_2;I’m sorry for yesterday. Sometimes late-night thoughts are stronger than me. I’m glad you were here.;a
Jour_6_3;You make it better, even when you eat stuff you’re not supposed to. At least, it gets me out of my head.;a
Jour_6_4;I love you too kitty, thank you for sticking with me all this time.;a
Jour_6_5;I’m going to drink this coffee on the sofa. Are you coming?;a
Jour_6_6;Sigh Yeah, I have to go shower too but for now, I’m going on the sofa to drink this coffee. You’re coming?;a
Jour_6_7;I can meow too you know. Instead of meowing come with me on the sofa so I can drink my coffee peacefully.;a
Jour_6_8;That was an aggressive meow.;a
Jour_6_9;I don’t know why you aren’t happy again but I’m going to the sofa to drink this coffee. You’re coming?;a
Jour_6_10;Ah yes, you’re right I’ve got to feed you.;a
Jour_6_11;Mhh, how about beef today? Looks good to me, here you go kitty. I’m going to the sofa, are you coming?;a
Jour_6_12;Sigh You know what nevermind. I’m going on the sofa to drink this coffee. You’re coming?;a
Jour_6_13;What th- MILO.;a
Jour_6_14;You must stop doing this, I am going to have to buy a heavier trash can if you continue and I don’t have the money for that.;a
Jour_6_15;Get out of here, go wait for me on the sofa instead.;a
Jour_6_16;This couch has a gift to make you feel better, come here kitty. Here you go.;a
Jour_6_17;I think Lena will love this.;a
Jour_6_18;Aaand I’m done!;a
Jour_6_19;What do you think?;a
Jour_6_20;*chuckles* Do you like it too? I’m glad. I painted you since she loves you so much.;a
Jour_6_21;I must say you look handsome on this canvas.;a
Jour_6_22;"I’ll give it to her tomorrow; she’s coming to work on our project.";a
Jour_6_23;Maybe we could sleepover?;a
Jour_6_24;I don’t know but I’m so excited to see her.;a
Jour_6_25;I’d love to know what you mean when you’re meowing like that. Sigh;a
Jour_6_26;Anyway, I painted you since she loves you so much.;a
Jour_6_27;I must say you look handsome on this canvas.;a
Jour_6_28;"I’ll give it to her tomorrow; she’s coming to work on our project.";a
Jour_6_29;Maybe we could sleepover?;a
Jour_6_30;I don’t know but I’m so excited to see her.;a
Jour_6_31;I can see how much you care...;a
Jour_6_32;Anyway, I painted you since she loves you so much.;a
Jour_6_33;I must say you look handsome on this canvas.;a
Jour_6_34;"I’ll give it to her tomorrow; she’s coming to work on our project.";a
Jour_6_35;Maybe we could sleepover?;a
Jour_6_36;I don’t know but I’m so excited to see her.;a
Jour_6_37;Wow chill dude, I know my art is not a Da Vinci, but it still deserves some respect.;a
Jour_6_38;Maybe I shouldn’t have painted you after all. I hope she will like it even though it’s not as good as I had hoped it’d be.;a
Jour_6_39;"I’ll give it to her tomorrow; she’s coming to work on our project.";a
Jour_6_40;Maybe we could sleepover?;a
Jour_6_41;I don’t know but I’m excited to see her.;a
Jour_6_42;*chuckles* I’m guessing it means you love it, right? I’m glad. I painted you since she loves you so much.;a
Jour_6_43;I must say you look handsome on this canvas.;a
Jour_6_44;"I’ll give it to her tomorrow; she’s coming to work on our project.";a
Jour_6_45;Maybe we could sleepover?;a
Jour_6_46;I don’t know but I’m so excited to see her.;a
Jour_6_47;That’s your way of saying you don’t care, I guess.;a
Jour_6_48;Anyway, I painted you since she loves you so much.;a
Jour_6_49;I must say you look handsome on this canvas.;a
Jour_6_50;"I’ll give it to her tomorrow; she’s coming to work on our project.";a
Jour_6_51;Maybe we could sleepover?;a
Jour_6_52;I don’t know but I’m so excited to see her.;a
Jour_6_53;Milo, for the hundredth time, NO. You. Cannot. Eat. Plants.;a
Jour_6_54;You’re impossible. Sigh;a
Jour_6_55;Maybe I shouldn’t have painted you after all. You don’t deserve it when you do things like that.;a
Jour_6_56;"I’ll still give it to her tomorrow though; she’s coming to work on our project.";a
Jour_6_57;Maybe we could sleepover?;a
Jour_6_58;I don’t know but I’m excited to see her.;a
;;
;;
;;
;;
;;
;;
Jour_7_1;Sorry kitty, I can’t play with you right now.;a
Jour_7_2;I have to cook dinner for Lena and me.;a
Jour_7_3;I’m making lohikeitto, that’s her favorite dish so I must nail it.;a
Jour_7_4;I even called Mom to have her recipe so it should be delicious.;a
Jour_7_5;Yeah, I know you love salmon, I will give you some when I’m done.;a
Jour_7_6;What is it? Do you want salmon?;a
Jour_7_7;I will give you some when I’m done.;a
Jour_7_8;Not meowing or anything huh?;a
Jour_7_9;I guess you decided that being a good cat was the way to get some salmon.;a
Jour_7_10;In that case, good job kitty, here’s some fish.;a
Jour_7_11;This is not how you’re going to get some salmon, believe me.;a
Jour_7_12;Maybe if you behave, I can consider giving some to you.;a
Jour_7_13;I know you’re hungry Milo but be a tiny bit more patient please.;a
Jour_7_14;I’ll give you some salmon when I'm done I promise.;a
Jour_7_15;Milo NO, not my plant again.;a
Jour_7_16;This is not how you’re going to get some salmon, believe me.;a
Jour_7_17;Maybe if you behave, I can consider giving some to you.;a
Jour_7_18;Aaaand it’s done! Now taste test!;a
Jour_7_19;Ahhh, that’s de-li-cious. She’s going to love it.;a
Jour_7_20;Here you go Milo, have some salmon.;a
;;
Jour_7_21;So? What do you think? ;a
Jour_7_22;It’s good, it’s good.;a
Jour_7_23;Yeah?;a
Jour_7_24;Yeah, it’s really good!;a
Jour_7_25;Thank you so much for having made my favorite dish ever;a
Jour_7_26;I appreciate it a lot. I appreciate you a lot.;a
Jour_7_27;Yeah, I- I do too.;a
Jour_7_28;I think Milo does too.;a
Jour_7_29;Of course he does, I’m awesome. ;a
Jour_7_30;You really are.;a
Jour_7_31;Even if he complains a lot, I think Milo likes you too.;a
Jour_7_32;Too? So, you do like me.;a
Jour_7_33;I- I do.;a
Jour_7_34;What is he- Milo, no! Stop scratching the sofa!;a
Jour_7_35;It’s okay I don’t mind a bit of chaos, not when it’s with you.;a
Jour_7_36;You are very chaotic too Lena, I dare say.;a
Jour_7_37;But you love me.;a
Jour_7_38;Yeah, I do.;a
Jour_7_39;What is that noise?;a
Jour_7_40;Which noise?;a
Jour_7_41;That noise.;a
Jour_7_42;... ;a
Jour_7_43;Milo!;a
Jour_7_44;You’re so silly like that.;a
Jour_7_45;I think he’s cute.;a
Jour_7_46;You always think he’s cute.;a
Jour_7_47;Yeah, because he looks like his owner.;a
Jour_7_48;What is he- Milo, no! Stop messing with the trash can!;a
Jour_7_49;It’s okay I don’t mind a bit of chaos, not when it’s with you.;a
Jour_7_50;You are very chaotic too Lena, I dare say.;a
Jour_7_51;But you love me.;a
Jour_7_52; Yeah, I do.;a
Jour_7_53;Lena, I was wondering. I’m always so happy when you’re around and you make me laugh.;a
Jour_7_54;I feel like I’m a better person when you’re around and I feel like recently I kinda felt new things for you...?;a
Jour_7_55; Mhmh? New things? Tell me more about it?;a
Jour_7_56;You know what I meaaan.;a
Jour_7_57;I really don’t, go on, speak your mind sweetheart.;a
Jour_7_58;Lenaaa;a
Jour_7_59;Laureeen;a
Jour_7_60;I- I like you.;a
Jour_7_61;Yeah, I know that.;a
Jour_7_62;No, I mean. I like like you.;a
Jour_7_63;I have feelings for you.;a
Jour_7_64;I get it Laur’ I was just teasing you.;a
Jour_7_65; I like like you too. ;a
Jour_7_66;Sooooo, do you want to go out with me or...?;a
Jour_7_67;YES, I mean, yes I do wanna go out with you.;a
Jour_7_68;Awesome.;a
Jour_7_69;Awesome.;a
Jour_7_70;Took you long enough sleepyhead.;a
Jour_7_71;What the-;a
;;
Jour_7_72;So? What do you think?;a
Jour_7_73;It’s good, it’s good.;a
Jour_7_74;Yeah?;a
